,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
79,,고양삼송동일스위트파크뷰7(1차),2017,,,,69000,12,1,2022,중개거래,경기 고양덕양구,66.0346,28,595,N,,41281,,신원동
80,,무원마을(두산),1994,,,,67000,4,1,2022,중개거래,경기 고양덕양구,84.93,15,702,N,,41281,,행신동
81,,소만마을3단지(늘푸른아파트),1996,,,,43000,6,1,2022,중개거래,경기 고양덕양구,51.03,5,799,N,,41281,,행신동
82,,윤창APT,1997,,,,20000,7,1,2022,중개거래,경기 고양덕양구,59.706,17,414-1,N,,41281,,고양동
83,,신원당(태영2),1993,,,,41700,2,1,2022,중개거래,경기 고양덕양구,59.04,15,723,N,,41281,,성사동
84,,햇빛주공23,1996,,,,45000,5,1,2022,중개거래,경기 고양덕양구,59.97,7,953,N,,41281,,행신동
85,,햇빛주공23,1996,,,,28200,4,1,2022,중개거래,경기 고양덕양구,39.99,12,953,N,,41281,,행신동
86,,소만마을9단지,1995,,,,34500,3,1,2022,중개거래,경기 고양덕양구,43.76,10,793,N,,41281,,행신동
87,,허스(151),1987,,,,17000,6,1,2022,중개거래,경기 고양덕양구,57.96,3,151,N,,41281,,관산동
88,,별빛마을9단지(기산),1995,,,,64500,4,1,2022,중개거래,경기 고양덕양구,84.93,3,948,N,,41281,,화정동
89,,동산마을22단지호반베르디움,2012,,,,85000,26,2,2022,중개거래,경기 고양덕양구,84.954,6,365,N,,41281,,동산동
90,,무원마을(신안)8,1994,,22.06.01,O,72300,26,2,2022,중개거래,경기 고양덕양구,101.76,13,700,N,,41281,,행신동
91,,도래울파크뷰,2013,,,,69000,23,2,2022,중개거래,경기 고양덕양구,74.97,9,1103,N,,41281,,도내동
92,,도래울파크뷰,2013,,,,68000,20,2,2022,중개거래,경기 고양덕양구,74.98,7,1103,N,,41281,,도내동
93,,햇빛주공(18-2),1998,,,,59000,26,2,2022,중개거래,경기 고양덕양구,84.79,6,938,N,,41281,,행신동
94,,한라비발디,2004,,,,60000,17,2,2022,중개거래,경기 고양덕양구,84.8753,7,298,N,,41281,,토당동
95,,햇빛마을21단지,1997,,,,75000,28,2,2022,중개거래,경기 고양덕양구,134.64,14,905,N,,41281,,행신동
96,,햇빛주공(18-2),1998,,,,64800,28,2,2022,중개거래,경기 고양덕양구,84.79,12,938,N,,41281,,행신동
97,,햇빛주공(18-2),1998,,,,53500,19,2,2022,중개거래,경기 고양덕양구,65.97,17,938,N,,41281,,행신동
98,,서정마을6단지,2009,,,,87500,19,2,2022,중개거래,경기 고양덕양구,130.88,3,1092,N,,41281,,행신동
99,,도래울센트럴파크(CentralPark),2013,,,,60000,18,2,2022,중개거래,경기 고양덕양구,59.85,2,1011,N,,41281,,도내동
100,,삼송리슈빌센트럴파크,2012,,,,80000,26,2,2022,중개거래,경기 고양덕양구,84.9908,13,670,N,,41281,,원흥동
