,aptNm,buildYear,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,excluUseAr,floor,sggCd,umdNm,dealYearMonth
87,허스(151),1987,17000.0,6,1,2022,중개거래,57.96,3,41281,관산동,20221
88,별빛마을9단지(기산),1995,64500.0,4,1,2022,중개거래,84.93,3,41281,화정동,20221
89,강촌마을(진흥),1992,78800.0,22,1,2022,중개거래,101.88,12,41285,마두동,20221
90,일산요진와이시티,2016,122000.0,3,1,2022,중개거래,84.49,29,41285,백석동,20221
91,중산마을1단지(두산),1995,32800.0,29,1,2022,중개거래,59.97,7,41285,중산동,20221
92,강촌마을(우방),1993,73000.0,29,1,2022,중개거래,84.94,14,41285,마두동,20221
94,백마마을(금호),1995,29000.0,25,1,2022,중개거래,41.85,1,41285,마두동,20221
96,일산요진와이시티,2016,80000.0,7,1,2022,중개거래,59.89,40,41285,백석동,20221
97,하늘마을주공5단지,2007,60000.0,27,1,2022,중개거래,84.67,7,41285,중산동,20221
98,백송마을(두산),1994,44500.0,22,1,2022,중개거래,59.76,12,41285,백석동,20221
99,백송마을(우성),1992,38000.0,15,1,2022,중개거래,52.92,2,41285,백석동,20221
100,일산센트럴아이파크,2018,83500.0,29,1,2022,중개거래,84.9854,24,41285,중산동,20221
101,위시티일산자이1단지,2010,94000.0,23,1,2022,중개거래,162.7081,19,41285,식사동,20221
102,호수마을(현대),1994,71000.0,16,1,2022,중개거래,84.81,15,41285,장항동,20221
103,일산풍동5차성원상떼빌,2003,48000.0,18,1,2022,중개거래,84.94,11,41285,풍동,20221
104,백송마을(대우),1994,57000.0,21,1,2022,중개거래,84.768,2,41285,백석동,20221
106,킨텍스원시티2블럭,2019,165000.0,20,1,2022,중개거래,84.4423,11,41285,장항동,20221
107,백송마을(대림),1993,48300.0,14,1,2022,중개거래,58.74,5,41285,백석동,20221
108,호수마을(청구),1994,60000.0,15,1,2022,중개거래,67.735,7,41285,장항동,20221
109,백마마을(한양3),1995,29900.0,21,1,2022,중개거래,41.13,10,41285,마두동,20221
110,현대그린,1989,6250.0,22,1,2022,중개거래,38.52,5,41285,사리현동,20221
111,강촌마을(라이프),1992,48500.0,15,1,2022,중개거래,47.55,7,41285,마두동,20221
112,강촌마을(라이프),1992,46900.0,11,1,2022,중개거래,47.55,5,41285,마두동,20221
113,백송마을(대림),1993,51200.0,15,1,2022,중개거래,58.74,4,41285,백석동,20221
114,일산센트럴아이파크,2018,68000.0,24,1,2022,중개거래,59.9703,25,41285,중산동,20221
115,중산마을2(코오롱),1995,29000.0,13,1,2022,중개거래,49.98,2,41285,중산동,20221
116,현대그린,1989,7650.0,8,1,2022,중개거래,38.52,1,41285,사리현동,20221
117,중산마을5(건영),1995,30600.0,7,1,2022,중개거래,59.99,1,41285,중산동,20221
118,하늘마을2단지,2007,52000.0,15,1,2022,중개거래,84.72,13,41285,중산동,20221
119,하늘마을2단지,2007,51000.0,14,1,2022,중개거래,84.72,14,41285,중산동,20221
120,위시티블루밍3단지,2010,77000.0,28,1,2022,중개거래,101.9,18,41285,식사동,20221
121,위시티일산자이2단지,2010,72000.0,22,1,2022,직거래,115.9254,16,41285,식사동,20221
123,하늘마을주공5단지,2007,57500.0,18,1,2022,중개거래,84.89,11,41285,중산동,20221
124,위시티일산자이4단지,2010,117000.0,11,1,2022,중개거래,162.7081,6,41285,식사동,20221
125,위시티일산자이2단지,2010,110000.0,15,1,2022,중개거래,162.7081,7,41285,식사동,20221
126,쌍용,2002,67500.0,27,1,2022,중개거래,172.4112,12,41285,풍동,20221
127,백송마을(삼부),1993,56000.0,21,1,2022,중개거래,84.99,10,41285,백석동,20221
128,중산마을2(코오롱),1995,35000.0,16,1,2022,직거래,59.93,2,41285,중산동,20221
